GEOID20,District
04013000355,8
04013000398,8
04013000268,8
04013000099,8
04013000162,9
04013000601,8
04013000744,8
04013000392,8
04013000391,8
04013000387,8
04013000069,9
04013000479,9
04013000012,8
04013000585,8
04013000251,9
04013000684,8
04013000283,8
04013000123,8
04013000608,8
04013000545,8
04013000482,8
04013000712,8
04013000525,8
04013000340,8
04013000138,8
04013000448,8
04013000485,8
04013000738,8
04013000326,8
04013000221,8
04013000003,8
04013000313,8
04013000367,8
04013000402,8
04013000407,8
04013000309,9
04013000397,8
04013000491,8
04013000389,8
04013000160,8
04013000058,8
04013000680,9
04013000542,8
04013000046,8
04013000259,9
04013000044,9
04013000560,9
04013000090,9
04013000312,9
04013000434,9
04013000107,9
04013000161,9
04013000133,9
04013000125,9
04013000645,9
04013000141,9
04013000466,9
04013000702,9
04013000100,9
04013000520,9
04013000510,9
04013000322,9
04013000656,9
04013000124,9
04013000528,9
04013000513,9
04013000308,9
04013000544,9
04013000072,9
04013000628,9
04013000643,9
04013000500,9
04013000145,9
04013000335,8
04013000374,8
04013000720,8
04013000075,8
04013000103,8
04013000068,8
04013000300,8
04013000363,8
04013000362,8
04013000582,9
04013000459,8
04013000719,9
04013000192,8
04013000493,8
04013000136,9
04013000349,8
04013000635,9
04013000707,8
04013000350,9
04013000282,9
04013000690,9
04013000378,9
04013000009,9
04013000176,9
04013000158,9
04013000087,9
04013000670,9
04013000186,9
04013000371,9
04013000644,9
04013000458,9
04013000678,9
04013000730,9
04013000146,9
04013000370,9
04013000343,9
04013000465,9
04013000134,9
04013000209,9
04013000185,9
04013000567,9
04013000538,9
04013000497,9
04013000682,9
04013000137,9
04013000188,9
04013000550,9
04013000401,9
04013000695,9
04013000388,9
04013000637,9
04013000433,9
04013000093,9
04013000693,9
04013000189,9
04013000638,9
04013000037,9
04013000267,9
04013000121,9
04013000472,9
04013000731,9
04013000575,9
04013000718,9
04013000604,9
04013000710,9
04013000630,9
04013000474,9
04013000495,9
04013000184,9
04013000574,9
04013000424,9
04013000164,9
04013000016,9
04013000181,9
04013000626,9
04013000734,9
04013000156,9
04013000368,9
