GEOID,District,Total,Total_VAP,White,Hispanic,Black,Native,Asian,Pacific,D_votes,R_votes
370210030.2,3,4147,3442,2790,265,169,72,122,11,1101.0,1009.0
370210030.3,3,4244,3365,2807,192,135,62,159,4,1145.5,1215.5
370210031.1,3,1409,1150,1078,32,8,7,22,0,580.0,506.1666666666667
370210032.1,3,3374,2811,2350,217,142,83,20,4,790.0,809.8333333333334
370210033.2,3,1715,1402,1265,30,58,23,23,0,604.5,447.3333333333333
370210033.3,3,2688,2201,1868,112,107,77,21,1,839.8333333333334,688.3333333333334
370210034.1,3,1413,1173,1047,34,28,31,25,1,587.8333333333334,361.6666666666667
370210035.1,3,2427,2119,1818,70,151,50,23,2,902.8333333333334,463.6666666666667
370210036.1,3,3047,2634,2297,121,145,47,16,2,823.5,716.8333333333334
370210037.1,3,2006,1637,1512,29,17,29,21,2,509.6666666666667,638.3333333333334
370210038.2,3,2339,1872,1719,50,40,43,15,4,572.5,897.5
370210038.3,3,4459,3509,3052,152,132,104,54,1,1090.8333333333333,1522.6666666666667
370210039.2,3,2140,1691,1532,59,28,34,13,5,679.3333333333334,586.5
370210039.3,3,3403,2737,2521,79,44,54,15,1,1049.6666666666667,1067.0
370210040.2,3,5279,4154,3763,198,52,78,23,0,1134.5,1843.3333333333333
370210041.1,3,4941,3929,3237,438,41,136,50,1,903.5,1505.8333333333333
370210042.1,3,4025,3137,2077,793,162,109,29,5,838.5,725.8333333333334
370210043.2,3,2838,2232,1545,337,194,75,29,56,719.0,509.6666666666667
370210044.1,3,7404,6208,5391,352,179,147,111,4,2254.5,1916.0
370210045.1,3,6087,4792,3972,407,202,138,52,21,1437.8333333333333,1501.0
370210046.1,3,2117,1679,1422,123,50,44,48,2,618.5,532.5
370210047.1,3,6233,4911,4333,271,45,169,49,9,1137.1666666666667,2002.5
370210048.1,3,6078,4780,3792,614,156,157,55,9,1196.5,1680.5
370210049.1,3,6382,4984,4339,281,146,142,42,7,1089.8333333333333,2017.0
370210050.1,3,2113,1699,1584,22,14,47,10,1,431.1666666666667,715.5
370210051.2,3,2902,2252,2052,76,26,52,21,1,671.6666666666666,875.1666666666666
370210052.1,3,5885,4661,4115,231,77,134,85,8,1044.0,1930.3333333333333
370210053.1,3,4491,3568,3211,159,75,75,25,5,844.3333333333334,1587.6666666666667
370210054.2,3,7290,5417,3315,1080,748,143,130,15,1528.1666666666667,1200.0
370210055.1,3,3837,3039,2602,127,172,40,74,1,1275.0,1191.1666666666667
370210056.2,3,2637,2149,1859,80,111,51,37,5,1046.6666666666667,657.0
370210057.1,3,3661,2921,2593,88,81,47,96,4,1147.0,1188.0
370210058.1,3,2908,2422,2150,124,37,48,36,1,889.1666666666666,776.0
370210059.1,3,4812,4014,3646,113,71,119,34,6,1638.8333333333333,1461.5
370210060.2,3,1953,1631,1313,154,70,49,23,0,651.6666666666666,355.1666666666667
370210060.4,3,1787,1486,1329,67,29,33,17,4,721.3333333333334,505.3333333333333
370210061.1,3,2917,2448,2221,71,42,55,40,2,1119.3333333333333,875.1666666666666
370210062.1,3,3321,2845,2465,138,131,55,39,4,1188.8333333333333,773.8333333333334
370210063.1,3,834,673,584,36,14,38,4,0,197.33333333333334,250.83333333333334
370210064.1,3,2828,2271,1889,112,151,70,34,2,716.5,773.6666666666666
370210065.1,3,4076,3333,2830,222,117,126,40,1,1400.0,993.1666666666666
370210066.1,3,2449,2057,1619,201,129,73,33,10,725.5,540.6666666666666
370210067.1,3,2933,2505,2305,73,49,44,22,2,1274.5,722.6666666666666
370210068.1,3,7502,5903,4738,666,264,144,84,18,1525.1666666666667,1998.6666666666667
