GEOID,District,Total,Total_VAP,White,Hispanic,Black,Native,Asian,Pacific,D_votes,R_votes
371010PR10B,7,3775,2945,2092,321,461,47,41,7,713.6666666666666,1139.3333333333333
371010PR11A,7,4755,3620,2276,432,803,79,49,1,1024.6666666666667,1330.5
371010PR11B,7,7765,5931,3880,594,1208,152,122,3,1840.8333333333333,1975.0
371010PR12A,7,8227,6063,3993,470,1279,158,173,14,1723.8333333333333,2152.8333333333335
371010PR12B,7,7634,5362,3712,398,961,153,104,13,1655.3333333333333,2185.1666666666665
371010PR23A,7,6702,5041,3721,576,525,203,39,2,1056.1666666666667,2251.8333333333335
371010PR23B,7,5242,3898,2865,488,443,108,34,5,855.1666666666666,1698.3333333333333
371010PR27A,7,2961,2309,1234,378,610,33,59,5,681.5,622.6666666666666
371010PR27B,7,4920,3809,2332,637,749,123,22,0,938.1666666666666,1248.0
371010PR29A,7,9931,6835,5101,595,816,159,123,17,1732.3333333333333,2956.8333333333335
371010PR29B,7,16495,11649,8243,986,1937,242,240,24,3400.8333333333335,4728.5
371010PR31A,7,4598,3325,2443,310,463,62,53,6,842.0,1492.1666666666667
371010PR31B,7,9447,6885,4764,737,1050,185,165,8,1937.8333333333333,2820.1666666666665
37103000P01,4,1026,817,540,25,236,13,5,0,199.5,315.3333333333333
37103000P02,4,621,513,416,28,66,4,0,0,75.83333333333333,286.1666666666667
37103000P03,4,805,641,535,26,74,6,3,2,80.66666666666667,336.6666666666667
37103000P04,4,2438,2027,1370,50,554,47,19,1,596.8333333333334,903.5
37103000P05,4,1773,1425,662,54,669,27,15,1,641.5,483.8333333333333
37103000P06,4,822,658,506,44,82,21,3,0,89.16666666666667,322.1666666666667
37103000P07,4,1687,1400,778,27,548,50,16,0,482.3333333333333,430.1666666666667
371050000A1,11,8196,6174,2990,1342,1680,130,108,13,1847.8333333333333,1389.3333333333333
371050000A2,11,10614,7755,2344,2642,2607,240,82,10,2251.0,1105.5
371050000B1,11,3045,2391,1800,148,375,56,20,6,554.3333333333334,1069.8333333333333
371050000B2,11,4168,3097,1609,597,745,90,86,6,881.0,765.1666666666666
371050000C1,11,9306,7253,5557,684,787,143,80,14,1141.3333333333333,1870.0
371050000C2,11,6044,4736,3604,437,544,110,43,4,903.5,2099.5
371050000D1,11,5806,4535,3385,369,562,136,124,12,1143.3333333333333,2044.0
371050000D2,11,5260,4171,3244,365,380,116,93,10,1204.0,1872.6666666666667
371050000E1,11,3837,3002,2370,251,288,76,25,10,604.1666666666666,1305.0
371050000E2,11,7009,5278,2899,1293,910,149,75,5,1350.3333333333333,1398.1666666666667
3710700000C,6,3351,2580,1387,167,976,28,17,3,769.1666666666666,889.8333333333334
3710700000I,6,2559,1967,1295,151,471,44,11,5,396.3333333333333,865.8333333333334
3710700000N,6,4582,3591,2365,295,852,75,12,2,746.3333333333334,1492.1666666666667
3710700000V,6,3219,2552,1236,127,1129,60,11,2,834.3333333333334,710.5
3710700000W,6,1617,1250,1074,75,80,24,1,2,153.33333333333334,717.1666666666666
371070000FC,6,5807,4618,3121,308,1072,77,52,5,965.0,2137.0
371070000K1,6,1511,958,37,30,894,4,1,3,462.8333333333333,12.0
371070000K2,6,1315,1069,87,11,964,14,3,1,543.1666666666666,23.666666666666668
371070000K3,6,1885,1490,397,54,1013,16,18,8,693.1666666666666,171.33333333333334
371070000K4,6,3464,2877,1661,68,1061,32,59,4,1016.5,931.8333333333334
371070000K5,6,1988,1607,484,25,1064,22,22,1,754.5,220.83333333333334
371070000K6,6,3033,2198,273,65,1849,28,25,0,1169.0,171.16666666666666
371070000K7,6,2399,1912,336,62,1505,18,11,3,1020.8333333333334,220.83333333333334
371070000K8,6,1207,912,31,16,871,16,0,1,660.1666666666666,17.333333333333332
371070000K9,6,2576,2102,751,51,1236,21,57,3,1023.1666666666666,464.5
371070000MH,6,5245,4072,2092,302,1608,57,32,5,1313.5,1353.0
371070000SH,6,1056,842,645,69,106,24,5,1,109.66666666666667,434.5
371070000SW,6,1480,1167,939,72,140,13,7,2,164.83333333333334,603.8333333333334
371070000T1,6,2053,1577,1144,219,181,28,14,3,171.16666666666666,794.5
371070000T2,6,1544,1135,925,98,95,12,3,1,110.66666666666667,587.6666666666666
37107000PH1,6,1066,828,601,166,48,15,0,0,99.5,390.3333333333333
37107000PH2,6,2165,1619,1210,232,154,24,9,2,148.33333333333334,706.5
3710900AS25,9,3590,2899,2348,253,168,68,40,2,485.1666666666667,1327.0
3710900BC13,9,3394,2664,1682,477,422,65,40,2,483.8333333333333,618.0
3710900BS26,9,3107,2393,1887,197,246,36,17,0,496.6666666666667,1080.0
3710900CF19,9,2111,1666,1496,82,33,26,25,1,371.6666666666667,982.5
3710900DN29,9,4533,3507,3114,145,115,74,56,8,632.5,1886.5
3710900DV08,9,3990,3087,2808,132,55,77,17,3,441.8333333333333,1657.3333333333333
3710900DW28,9,3932,2975,2619,117,126,55,45,6,562.0,1679.5
3710900HC33,9,5090,4020,3532,279,88,89,25,3,581.6666666666666,1926.1666666666667
3710900IS20,9,2395,1874,1647,66,73,57,12,1,250.0,1040.3333333333333
3710900IS23,9,3580,2820,2309,127,262,82,30,4,556.6666666666666,1413.5
3710900LB34,9,4154,3345,2955,178,87,76,29,0,435.6666666666667,1559.5
3710900LI14,9,2209,1815,1515,128,114,24,15,3,341.6666666666667,772.5
3710900LN11,9,2372,1904,1380,154,316,45,11,0,541.8333333333334,588.5
3710900LS12,9,2602,2050,1467,219,298,50,16,2,553.8333333333334,657.3333333333334
3710900LW18,9,1630,1333,1047,49,191,40,13,0,247.5,612.1666666666666
3710900LW31,9,5377,4371,3886,102,215,88,55,3,1001.8333333333334,2140.3333333333335
3710900NB35,9,5623,4432,4059,170,85,94,16,3,531.3333333333334,2313.8333333333335
3710900OB21,9,3082,2398,2133,107,77,52,23,0,347.1666666666667,1423.8333333333333
3710900PC22,9,3764,2919,2573,147,77,72,21,0,410.8333333333333,1467.5
3710900SL24,9,2570,2083,1711,178,122,53,11,5,321.3333333333333,998.8333333333334
3710900ST36,9,5307,4134,3021,606,383,100,41,13,702.8333333333334,1664.1666666666667
3710900TA37,9,4759,3968,3462,151,183,82,59,7,821.6666666666666,2041.6666666666667
3710900WP32,9,7639,5759,5097,197,239,79,127,10,1328.5,2987.3333333333335
3711100NEBO,3,3568,2911,2616,78,103,69,37,2,502.0,1484.0
371110MAR-1,3,4221,3333,2889,215,121,76,31,3,616.8333333333334,1415.1666666666667
371110MAR-2,3,2170,1742,1313,146,243,32,12,1,497.3333333333333,504.5
371110MAR-3,3,1486,1165,966,107,30,42,13,1,174.16666666666666,442.8333333333333
371110MAR-4,3,2154,1606,1189,306,48,42,26,2,223.16666666666666,463.8333333333333
371110MAR-5,3,1647,1328,1182,83,22,35,15,3,223.66666666666666,483.1666666666667
37111CCREEK,3,2515,2101,1979,31,22,49,19,0,475.5,1143.3333333333333
37111DYSART,3,3624,2938,2582,157,59,63,70,0,379.8333333333333,1248.6666666666667
37111FORT-1,3,1825,1500,1344,64,59,28,10,0,277.0,665.3333333333334
37111FORT-2,3,2555,2073,1831,60,106,64,5,0,362.0,823.1666666666666
37111GLENWD,3,2608,2109,1935,40,35,57,33,3,285.1666666666667,1057.6666666666667
37111HIGGIN,3,3202,2646,1985,95,490,45,16,1,207.83333333333334,826.5
37111M.COVE,3,2379,1857,1740,51,13,37,7,0,253.16666666666666,968.5
37111N.COVE,3,1147,934,865,20,14,25,9,0,144.66666666666666,478.8333333333333
37111PLEASA,3,2822,2283,2063,107,49,63,12,2,390.6666666666667,1196.5
37111T.COVE,3,1209,970,895,31,9,26,5,0,100.0,462.6666666666667
37111WEST-M,3,5446,4309,3658,253,231,103,42,2,635.8333333333334,1841.6666666666667
37113000001,3,3408,2796,2381,237,62,66,44,0,619.6666666666666,1166.5
37113000002,3,2262,1712,1334,257,35,57,17,4,334.5,526.0
37113000003,3,3757,3049,2541,348,51,89,31,4,616.0,1175.3333333333333
37113000004,3,2239,1738,1564,115,20,27,14,2,324.5,728.1666666666666
37113000005,3,4034,3219,2711,352,42,90,24,2,535.3333333333334,1379.6666666666667
37113000006,3,3133,2505,2216,136,24,91,16,5,471.5,1136.1666666666667
37113000007,3,2865,2439,2239,94,16,53,23,2,420.5,1066.0
37113000008,3,634,537,470,26,13,22,6,0,91.0,256.5
37113000009,3,3182,2794,2528,140,22,59,35,6,721.8333333333334,1120.6666666666667
37113000010,3,616,533,460,57,2,16,2,2,120.83333333333333,218.5
37113000011,3,4047,3271,2871,264,16,72,18,4,597.8333333333334,1467.3333333333333
37113000012,3,2563,2168,1993,92,20,38,28,3,508.0,1006.5
37113000013,3,760,645,592,21,6,22,7,0,76.66666666666667,346.6666666666667
37113000014,3,937,805,741,34,6,16,9,2,150.5,423.0
37113000015,3,2577,2134,1958,64,20,65,14,3,465.6666666666667,1020.8333333333334
371150BEECH,3,3190,2596,2408,55,17,91,14,2,675.0,1264.5
371150NORTH,3,2938,2359,2173,83,17,63,16,4,686.6666666666666,1000.8333333333334
371150SANDY,3,639,544,521,6,1,11,6,1,148.33333333333334,227.33333333333334
371150SOUTH,3,1246,1037,947,33,6,30,10,1,339.8333333333333,388.3333333333333
37115EBBS-C,3,1335,1097,1013,24,12,40,8,2,276.6666666666667,507.0
37115GRAPEV,3,1505,1183,1123,13,7,29,3,1,281.5,516.6666666666666
37115HOT-SP,3,1090,865,796,12,8,28,5,1,233.66666666666666,353.3333333333333
37115LAUREL,3,1299,1083,1028,18,3,25,3,1,216.33333333333334,421.6666666666667
37115MARS-H,3,5061,4259,3650,240,206,96,39,5,1204.8333333333333,1568.8333333333333
37115REVERE,3,356,301,277,10,3,9,3,1,109.33333333333333,95.0
37115SPRING,3,920,786,729,16,9,25,5,1,251.66666666666666,312.5
37115WALNUT,3,1614,1371,1287,26,6,30,12,2,385.8333333333333,561.3333333333334
3711700000J,6,2439,1960,1343,61,531,27,9,2,509.6666666666667,892.0
3711700000W,6,1109,913,677,30,192,13,1,1,203.66666666666666,471.8333333333333
371170000BG,6,2118,1695,1425,30,224,17,2,3,275.1666666666667,922.6666666666666
371170000CR,6,1369,1081,684,26,347,24,2,1,331.3333333333333,431.1666666666667
371170000GN,6,881,724,314,27,381,8,1,0,315.0,232.16666666666666
371170000GR,6,1278,1045,838,16,181,10,4,0,214.66666666666666,598.3333333333334
371170000HM,6,1020,872,334,19,502,16,2,2,369.5,202.33333333333334
371170000HS,6,329,257,90,4,162,3,1,1,129.16666666666666,57.0
371170000PP,6,456,365,229,17,111,4,1,1,105.83333333333333,121.83333333333333
371170000R1,6,1262,1007,369,37,592,7,8,2,467.1666666666667,237.83333333333334
371170000R2,6,1676,1350,467,72,791,17,5,3,600.0,310.8333333333333
371170000W1,6,4288,3394,1516,147,1674,38,37,5,1174.6666666666667,866.8333333333334
371170000W2,6,3806,2952,1292,60,1530,54,27,2,1289.1666666666667,740.1666666666666
37119000001,1,2036,1687,1470,55,89,14,57,2,817.0,562.5
37119000002,1,4336,3703,2598,207,674,44,183,7,1873.5,644.1666666666666
37119000003,1,5045,3622,382,1397,1673,64,184,4,1290.1666666666667,140.66666666666666
37119000004,1,4122,3108,776,871,1297,57,164,4,1177.5,344.3333333333333
37119000005,1,3282,2587,776,694,1008,86,99,6,862.0,176.33333333333334
37119000006,1,5353,3992,756,983,1892,57,358,1,1253.0,231.66666666666666
37119000007,1,2929,2340,1465,164,566,50,87,1,1089.5,395.0
37119000008,1,3559,2953,2472,185,201,33,68,4,988.1666666666666,962.0
37119000009,1,6456,5902,4490,300,693,93,350,6,2281.3333333333335,1069.5
37119000010,1,3406,2629,2292,108,79,25,119,1,1421.8333333333333,760.3333333333334
37119000011,1,13576,12783,7955,851,2782,145,1056,19,4475.5,1982.5
37119000012,1,3744,3203,767,188,2155,45,95,15,1463.5,191.0
37119000013,1,6321,5547,2846,355,1877,97,407,7,2103.0,624.1666666666666
37119000014,1,4343,3756,1951,195,1395,63,197,3,1994.6666666666667,334.8333333333333
37119000015,1,5221,4544,3707,211,373,63,172,2,2479.1666666666665,703.8333333333334
37119000016,1,4088,3139,69,214,2818,32,41,4,2088.6666666666665,66.83333333333333
37119000017,1,3671,2571,622,254,1610,40,84,1,1170.0,135.5
37119000018,1,2132,1595,1505,29,15,12,21,1,717.1666666666666,772.1666666666666
37119000019,1,2521,1813,1610,62,60,34,54,2,773.5,699.6666666666666
37119000020,1,3334,2427,2116,95,62,16,111,2,1268.0,733.3333333333334
37119000021,1,3023,2509,1948,162,269,41,99,2,1183.6666666666667,558.1666666666666
37119000022,1,12051,11174,7997,628,1799,110,602,7,4036.8333333333335,2052.3333333333335
37119000023,1,3253,2628,882,225,1433,52,80,6,1251.3333333333333,246.0
37119000024,1,4282,3412,1014,286,2047,60,53,5,1620.0,303.0
37119000025,1,2987,2340,100,168,2064,25,17,4,1511.6666666666667,40.333333333333336
37119000026,1,5706,4283,551,715,2891,71,152,3,2131.3333333333335,287.3333333333333
37119000027,1,4893,3599,463,644,2421,59,67,3,1478.1666666666667,149.16666666666666
37119000028,1,3414,2768,976,375,1271,68,114,1,1323.6666666666667,235.16666666666666
37119000029,1,3988,3031,1419,791,710,57,75,5,1147.0,340.1666666666667
37119000030,1,4813,4261,3087,320,545,92,222,5,2198.1666666666665,506.8333333333333
37119000031,1,3796,2742,257,208,2234,59,37,3,1495.1666666666667,98.66666666666667
37119000032,1,2636,1875,1749,48,12,25,33,1,818.0,954.8333333333334
37119000033,1,5024,3742,1260,1348,958,83,152,8,1128.8333333333333,318.8333333333333
37119000034,1,4766,3801,1961,600,981,72,212,2,1435.3333333333333,519.3333333333334
37119000035,1,2553,1846,1428,114,198,22,91,2,890.1666666666666,603.3333333333334
37119000036,1,3576,2795,2286,107,213,23,144,3,1186.8333333333333,895.0
37119000037,1,2933,2619,2169,164,133,35,118,4,1021.0,733.5
37119000038,1,3975,3269,1821,622,682,83,127,8,1044.6666666666667,484.5
37119000039,1,4988,3290,211,456,2486,74,127,3,1565.1666666666667,107.5
37119000040,1,4819,3500,425,436,2374,68,270,4,1486.8333333333333,182.5
37119000041,1,4724,3445,398,404,2367,98,239,13,1501.5,173.5
37119000042,1,4555,3356,145,744,2398,52,76,5,1673.0,84.83333333333333
37119000043,1,6195,4560,678,1315,2375,139,231,7,1786.6666666666667,232.0
37119000044,1,2201,1827,1415,108,205,36,50,9,1017.5,349.0
37119000045,1,3961,3093,1048,793,861,109,361,4,1038.0,361.5
37119000046,1,5061,3958,1891,724,1096,94,200,9,1580.6666666666667,421.8333333333333
37119000047,1,4072,3142,2497,149,327,25,132,6,1385.0,967.1666666666666
37119000048,1,2675,1847,1652,38,55,17,78,0,842.6666666666666,900.0
37119000049,1,3717,3085,2505,169,209,43,138,2,1268.8333333333333,837.3333333333334
37119000050,1,3421,2785,1522,767,384,83,83,3,956.6666666666666,473.5
37119000051,1,3813,3232,2401,294,381,72,129,4,1396.5,788.0
37119000052,1,3684,2886,266,334,2264,60,38,8,1662.8333333333333,119.66666666666667
37119000053,1,5616,4174,417,754,2811,78,215,6,1908.8333333333333,195.0
37119000054,1,4570,3457,620,188,2555,61,80,4,1917.8333333333333,188.33333333333334
37119000055,1,2593,1974,94,183,1671,20,35,2,1040.1666666666667,46.5
37119000056,1,2918,2100,141,126,1772,29,79,5,968.8333333333334,64.66666666666667
37119000057,1,3035,2525,2030,107,253,32,102,4,1018.5,809.5
37119000058,1,3373,2752,1815,354,309,71,226,3,1053.3333333333333,750.0
37119000059,1,2531,1931,1106,625,99,73,70,0,638.5,387.8333333333333
37119000060,1,2998,2302,218,433,1586,35,65,1,1289.3333333333333,92.5
37119000061,1,3940,3223,1425,633,936,67,214,12,1317.3333333333333,460.5
37119000062,1,5007,3646,523,1149,1503,102,449,0,1155.3333333333333,259.6666666666667
37119000063,1,4883,3454,675,1242,1180,90,337,0,1189.5,344.0
37119000064,1,1870,1490,741,203,396,43,145,3,626.8333333333334,253.83333333333334
37119000065,1,1862,1480,1199,90,100,11,77,0,711.1666666666666,508.0
37119000066,1,2102,1653,1336,81,121,27,89,0,818.5,505.5
37119000067,1,2044,1618,1334,79,100,30,60,5,700.5,591.8333333333334
37119000068,1,3145,2351,1105,290,815,57,117,6,984.1666666666666,400.0
37119000069,1,5841,4284,3460,219,300,44,258,3,1731.0,1786.6666666666667
37119000070,1,2835,2093,1895,64,41,16,62,2,1019.5,925.3333333333334
37119000071,1,3186,2298,1691,147,210,33,213,1,783.0,858.6666666666666
37119000072,1,2037,1544,1322,49,90,23,62,2,728.6666666666666,578.0
37119000073,1,2574,2028,1496,136,201,24,165,2,806.5,610.8333333333334
37119000074,1,4480,3747,3105,147,255,38,175,1,1263.5,1186.1666666666667
37119000075,1,4576,3565,3050,125,146,30,214,5,1416.1666666666667,1402.8333333333333
37119000076,1,3733,3060,2575,183,166,36,84,4,1336.5,1088.8333333333333
37119000077,1,5476,3958,374,1611,1869,121,110,6,1494.1666666666667,167.66666666666666
37119000079,1,4045,3028,669,659,1306,62,364,5,1105.0,426.3333333333333
37119000080,1,6348,4648,1123,825,2309,80,375,7,1808.5,530.0
37119000081,1,7580,5631,959,974,3258,168,398,3,2487.0,515.8333333333334
37119000082,1,9117,6509,470,2554,3299,178,190,15,1956.5,125.66666666666667
37119000083,1,6070,4521,1388,1021,1717,160,326,6,1741.6666666666667,698.5
37119000084,1,5074,3729,705,1160,1582,139,260,3,1254.8333333333333,272.0
37119000085,1,3595,2858,1832,253,624,68,90,5,1292.5,686.5
37119000086,1,2669,1943,1762,52,38,9,77,1,831.6666666666666,992.8333333333334
37119000087,1,4363,3537,2118,666,506,84,184,5,1281.6666666666667,867.3333333333334
37119000088,1,4129,3396,2171,510,489,80,135,4,1190.1666666666667,881.3333333333334
37119000089,1,10431,7649,2515,1322,3522,219,232,1,3222.8333333333335,1317.6666666666667
37119000090,1,2230,1762,1362,123,134,21,110,5,733.8333333333334,617.5
37119000091,1,6676,4721,3621,191,315,44,499,5,1942.1666666666667,1900.8333333333333
37119000092,1,4419,3357,2385,363,382,43,179,9,1300.8333333333333,1175.8333333333333
37119000093,1,2388,1918,1492,203,99,34,83,3,683.3333333333334,847.3333333333334
37119000094,1,3475,2619,847,665,865,99,236,2,1009.8333333333334,452.6666666666667
37119000095,1,3610,2722,546,557,1437,49,151,9,1071.3333333333333,264.5
37119000096,1,2861,2475,1730,242,377,44,80,1,1008.5,724.0
37119000097,1,2772,2143,635,496,970,71,58,6,871.3333333333334,181.5
37119000098,1,8874,6069,562,3473,1927,319,170,18,1365.1666666666667,233.16666666666666
37119000099,1,5014,3890,970,836,1883,99,120,9,1223.6666666666667,194.5
37119000100,1,4180,3233,2372,188,288,49,309,3,1280.1666666666667,1075.0
37119000101,1,3843,3044,2125,319,454,37,112,2,1035.0,955.8333333333334
37119000102,1,8155,6185,2321,1235,2094,139,405,9,2367.5,930.3333333333334
37119000103,1,4308,3317,2754,174,163,51,170,3,1422.3333333333333,1358.8333333333333
37119000104,1,5604,4221,402,1102,2455,109,259,10,1874.0,196.16666666666666
37119000105,1,8995,7559,2757,820,3401,165,536,15,2442.6666666666665,518.8333333333334
37119000106,1,2228,1739,1527,64,67,38,46,3,817.8333333333334,636.8333333333334
37119000108,1,5789,4141,527,1380,1714,88,427,9,1291.6666666666667,204.66666666666666
37119000109,1,3782,3233,2680,149,225,45,129,1,1659.5,535.3333333333334
37119000110,1,1981,1462,1184,72,122,25,49,2,648.1666666666666,550.6666666666666
37119000111,1,4154,3400,2758,191,266,30,139,0,1316.1666666666667,1102.5
37119000112,1,3155,2317,1870,108,113,22,191,2,890.5,963.8333333333334
37119000113,1,4961,3548,2815,157,220,37,307,3,1441.3333333333333,1445.5
37119000114,1,3806,3030,2536,204,186,32,59,2,1237.0,1205.6666666666667
37119000115,1,2963,2217,702,660,720,60,135,4,885.5,333.5
37119000116,1,2917,2090,396,583,998,70,111,1,919.0,232.16666666666666
37119000117,1,3734,2967,919,482,1404,81,103,10,1166.1666666666667,338.1666666666667
37119000118,1,5117,3581,2358,198,397,39,520,1,1280.6666666666667,996.3333333333334
37119000119,1,2468,1902,1565,59,164,23,86,2,740.3333333333334,560.0
37119000120,1,6491,4993,990,2071,1723,121,226,0,1251.5,249.0
37119000121,1,5101,4001,3205,234,236,61,252,7,1575.3333333333333,1825.5
37119000122,1,8790,6996,2761,1273,2403,192,493,14,2699.1666666666665,1353.1666666666667
37119000123,1,3903,2922,655,613,1463,91,153,14,1523.1666666666667,335.3333333333333
37119000124,1,4491,3309,540,736,1825,77,183,9,1563.3333333333333,218.16666666666666
37119000125,1,2454,1798,489,539,624,33,146,5,743.5,234.66666666666666
37119000126,1,6072,4811,924,452,2658,97,750,5,2062.3333333333335,344.8333333333333
37119000127,1,6891,4789,4197,208,142,49,157,4,2058.5,2104.0
37119000128,1,4098,3291,1604,277,1193,68,185,4,1626.3333333333333,719.8333333333334
37119000129,1,2700,2172,870,556,620,57,116,6,651.8333333333334,268.6666666666667
37119000130,1,3874,2791,725,550,930,68,577,2,884.3333333333334,370.1666666666667
37119000131,1,2371,1817,1563,62,89,17,72,0,756.6666666666666,780.1666666666666
37119000132,1,4670,3378,868,1288,1007,116,183,5,1064.3333333333333,374.5
37119000133,1,7343,5380,4230,308,452,77,271,8,1848.0,2195.8333333333335
37119000134,1,11104,8400,5857,936,1156,139,336,10,2918.8333333333335,2501.1666666666665
37119000135,1,14594,11091,1922,1827,6990,180,358,13,4594.0,639.3333333333334
37119000136,1,3482,2747,2326,136,127,38,104,7,948.3333333333334,1082.0
37119000137,1,9969,7087,4355,416,552,85,1647,16,2355.3333333333335,2570.3333333333335
37119000138,1,6875,5444,1260,1390,2264,121,557,13,1957.1666666666667,471.0
37119000140,1,9613,7084,3966,631,812,104,1581,11,2289.1666666666665,2096.1666666666665
37119000141,1,11129,10455,4927,1000,2932,176,1510,27,1822.5,468.3333333333333
37119000142,1,9679,7376,5591,458,827,134,364,10,2387.6666666666665,2728.1666666666665
37119000143,1,8751,6089,4646,434,575,81,350,2,2151.3333333333335,2410.0
37119000144,1,5258,4008,2881,230,370,56,472,12,1559.6666666666667,1338.6666666666667
37119000145,1,14590,10928,5492,803,3835,158,726,33,5206.833333333333,2553.5
37119000146,1,8162,6320,1025,591,3578,111,1163,8,2642.3333333333335,377.0
37119000147,1,8613,6753,1312,1721,2358,150,1298,10,2080.8333333333335,474.5
37119000148,1,19409,13593,6849,1163,1793,190,3559,18,4967.166666666667,3420.0
37119000149,1,9172,6988,1454,1198,3887,96,452,15,3486.0,642.3333333333334
37119000150,1,5145,3960,1650,369,1773,81,127,1,1852.6666666666667,836.1666666666666
37119000151,1,7972,6031,1926,697,2934,131,442,6,2969.5,800.1666666666666
37119000200,1,4545,3423,1744,867,573,102,175,2,946.5,820.6666666666666
37119000201,1,12575,9286,3274,1756,3890,243,281,13,3869.1666666666665,1622.3333333333333
37119000202,1,13079,9925,7651,845,975,152,304,14,3328.5,3451.8333333333335
37119000203,1,11147,8124,1868,1608,4358,158,306,2,3852.3333333333335,927.0
37119000205,1,5846,4440,1537,693,2031,73,224,12,2048.3333333333335,862.1666666666666
37119000206,1,9045,7696,6183,435,612,102,401,4,3302.6666666666665,1728.0
37119000207,1,8511,6155,4452,777,604,88,205,5,2002.3333333333333,2315.3333333333335
37119000208,1,6440,4998,4408,157,168,67,154,3,1522.8333333333333,2438.1666666666665
37119000209,1,6939,5178,3636,471,842,90,145,3,1839.8333333333333,1887.5
37119000210,1,9419,7115,905,943,5028,128,223,7,4024.6666666666665,497.6666666666667
37119000211,1,16442,12947,3571,1557,7147,283,597,12,5884.666666666667,1498.8333333333333
37119000212,1,21153,16996,4130,1363,8147,274,3370,30,6646.833333333333,1327.6666666666667
37119000213,1,8581,6348,808,1257,4031,96,248,7,3017.3333333333335,405.0
37119000214,1,5108,3870,1450,252,1956,80,170,13,2096.6666666666665,652.0
37119000215,1,5170,3831,2776,270,437,67,262,11,1434.3333333333333,1345.6666666666667
37119000216,1,6881,5529,3431,614,1002,116,379,7,2031.3333333333333,1704.0
37119000217,1,4488,3584,2286,423,667,70,153,5,1170.1666666666667,925.6666666666666
37119000218,1,3814,2949,2277,238,284,46,93,2,870.6666666666666,1242.6666666666667
37119000219,1,3828,3067,2061,279,496,75,162,6,854.1666666666666,1167.6666666666667
37119000220,1,3999,3282,2534,207,400,60,107,5,1084.5,1537.8333333333333
37119000221,1,6153,4842,3863,243,428,108,192,3,1323.6666666666667,2354.6666666666665
37119000222,1,11323,8215,1892,984,4865,191,406,12,4051.1666666666665,1063.5
37119000224,1,5342,3997,1664,634,1397,110,250,6,1341.8333333333333,841.6666666666666
37119000225,1,3621,2899,1939,333,425,59,170,4,988.3333333333334,837.8333333333334
37119000226,1,5577,4576,3009,533,614,71,313,3,1628.1666666666667,1299.0
37119000227,1,10840,7973,5176,649,885,102,1133,4,2842.0,2518.3333333333335
37119000228,1,7572,6144,2028,1290,2251,160,553,13,2271.1666666666665,807.8333333333334
37119000229,1,16800,12660,6526,1456,3597,214,929,31,4881.0,3249.5
37119000230,1,16146,12279,3871,2150,4597,228,1635,7,4935.333333333333,1815.5
37119000231,1,8345,6395,3207,1228,1337,135,585,7,2178.0,1354.3333333333333
37119000232,1,7308,5675,3815,399,555,102,822,12,2049.5,1979.5
37119000233,1,5611,4431,3850,144,155,44,212,2,1659.0,1887.6666666666667
37119000234,1,6023,4553,2351,967,919,138,204,3,1411.3333333333333,1157.3333333333333
37119000235,1,5855,4444,2035,855,1292,112,226,7,1481.5,1079.1666666666667
37119000236,1,7121,5451,4065,377,676,117,217,7,1464.6666666666667,2469.0
37119000237,1,7377,5625,1453,804,3064,130,299,8,2436.1666666666665,576.5
37119000239,1,5636,4227,1356,323,1853,78,678,8,2012.0,656.0
37119000240,1,8768,7143,5778,485,521,123,215,5,2243.3333333333335,2748.3333333333335
37119000241,1,11404,8750,5750,568,1744,146,575,13,3236.8333333333335,2793.0
37119000242,1,3783,3011,2716,77,76,29,84,3,831.6666666666666,1706.5
37119000243,1,15747,11969,5132,1831,3996,202,927,22,4904.666666666667,2431.1666666666665
371190078.1,1,4880,3937,1375,805,1230,70,505,9,1250.1666666666667,396.5
371190107.1,1,5532,4261,923,510,2596,77,233,8,2307.1666666666665,431.3333333333333
371190139.1,1,5530,4068,2668,308,423,46,589,5,1497.1666666666667,1387.0
371190204.1,1,8238,6170,1384,663,3769,106,334,9,3420.3333333333335,596.8333333333334
371190223.1,1,10992,8075,3538,757,3434,184,265,10,3711.5,1833.8333333333333
371190238.1,1,4047,3091,1515,245,1165,43,157,6,1702.6666666666667,690.3333333333334
37121000001,8,1757,1395,1300,20,10,48,10,1,221.66666666666666,760.6666666666666
37121000002,8,386,319,316,0,0,1,2,0,25.333333333333332,211.0
37121000003,8,715,601,577,5,0,15,0,0,71.5,362.8333333333333
37121000004,8,8040,6552,5922,354,60,144,50,4,1035.5,3400.8333333333335
37121000005,8,1034,858,803,21,3,25,3,0,88.16666666666667,477.5
37121000006,8,702,598,576,1,1,15,6,0,72.5,341.0
37121000007,8,251,223,213,2,2,5,1,0,18.0,138.5
37121000008,8,353,307,300,2,2,1,0,0,34.333333333333336,195.83333333333334
37121000009,8,1665,1393,1295,42,9,33,12,0,295.8333333333333,731.0
371230000T1,10,3104,2279,1455,223,515,33,55,2,566.8333333333334,869.1666666666666
371230000T2,10,2271,1876,1339,80,416,23,21,0,355.5,671.8333333333334
37123000BIS,10,2912,2139,1033,634,441,38,21,2,540.6666666666666,497.8333333333333
37123000CAN,10,2836,2042,986,663,343,40,33,6,454.0,530.8333333333334
37123000CHE,10,951,732,613,42,71,9,0,0,136.33333333333334,387.5
37123000ELD,10,1894,1729,1638,21,32,31,10,1,242.0,901.3333333333334
